"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.593486260512295,0.867021715573252,3.2081052027099,631.590226226387,79.7882913362235,1.60364460945129,249,249,NA
"OBOw",0.599747010086921,0.905059266507406,4.52807460626628,331.181001843843,47,4.83120512962341,143,46,NA
"OBOsw",0.593486260512295,0.867021715573252,3.2081052027099,631.590226226387,79.7882913362235,4.25267839431763,388,249,NA
"BACs",0.523928783379509,0.786787476256587,3.42426304125749,578.401809071561,80.7704637620356,10.2179024219513,249,249,8
"BACw",0.613459675424081,0.896485274738487,4.38288873335291,334.183718218438,77,12.3389620780945,143,76,39
"BACsw",0.524321152295868,0.784001476934919,3.2623886834356,595.943722573711,80.4984386171483,17.997349023819,388,249,11
