"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.858281311145404,1.13277119251466,3.16895037108426,192.880772663651,37.4396476913301,1.03015780448914,249,249,NA
"OBOw",0.9000796931305,1.21452164722295,3.69127557061482,218.721967973446,30,5.34026861190796,143,29,NA
"OBOsw",0.862911709613123,1.13720503726344,3.28468502883776,196.798505063932,71.4396476913301,3.67114758491516,388,283,NA
"BACs",0.832640965698877,1.10430902713879,3.13083639098306,182.490751781219,40.0036010185239,5.21542286872864,249,249,4
"BACw",0.898620731464173,1.19483365784866,3.45052915373865,212.213535496753,45,5.57259202003479,143,44,10
"BACsw",0.859536837148417,1.11760770763894,3.0085771817078,189.35127522839,68.7576666402792,11.165301322937,388,281,11
