"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.783383772105354,1.02230772530752,3.36279907794934,155.724141239131,33.6956095523575,0.88598370552063,249,249,NA
"OBOw",0.839727552193151,1.10951396478814,3.88500506509311,188.076306327623,39,3.2647078037262,143,38,NA
"OBOsw",0.793425650791537,1.04147050605765,3.58539360918397,166.962282513442,63.4675051639334,3.63229203224182,288,179,NA
"BACs",0.790486870657557,1.02880043179228,3.37205145912317,157.959314850499,32.8573834742014,3.94853520393372,249,249,4
"BACw",0.846798395817645,1.11650343744985,3.95052503022182,189.022150105587,31,5.25830340385437,143,30,12
"BACsw",0.802021065758208,1.03314175903584,3.64149423524449,161.092082232278,55.0092512776414,8.92853736877441,288,175,13
