"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.861221387807083,1.10947274910529,3.3872424704729,196.976785713941,44.9895141802358,1.77091789245605,249,249,NA
"OBOw",0.893141889684227,1.17700963470448,3.70151151287736,228.279875074086,70,5.49396705627441,143,69,NA
"OBOsw",0.877287800622104,1.13448767927594,3.52909156222249,214.315375835105,68.6513923285138,5.67694735527039,288,174,NA
"BACs",0.866688786982476,1.11471370543428,3.37384782360552,198.303560512206,43.0693673903449,6.53991937637329,249,249,3
"BACw",0.915474404481348,1.19856584639813,3.90948227851088,229.630213097679,39,8.63750004768372,143,38,12
"BACsw",0.841492159474146,1.08721935265681,3.45781603508941,188.520378144137,63.8577850137567,12.0012259483337,288,193,8
