"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.911639218609851,1.18039470648088,3.67003243753772,224.920449245738,31.0287684838515,0.96658182144165,249,249,NA
"OBOw",0.926436380004305,1.22145851330922,3.97208336400376,249.715392579378,63,3.25478386878967,143,62,NA
"OBOsw",0.926612837006481,1.19995618335643,3.75283344427976,243.31407266552,73.199869159549,3.54921793937683,288,192,NA
"BACs",0.899145830242953,1.15267390354275,3.48383564617774,213.658332121314,33.3627190753416,3.68870449066162,249,249,3
"BACw",0.919843134280085,1.21846072900917,4.08817616277438,245.1792269158,31,4.6971607208252,143,30,8
"BACsw",0.879404648560887,1.13472673254256,3.63254286671798,208.991049165347,57.5401296663192,7.95259761810303,288,181,11
