"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.779719429157419,1.00747999643899,3.20163436752008,150.036388569031,30.1155301194334,0.85295581817627,249,249,NA
"OBOw",0.85019098224117,1.11806580439287,3.65996607310006,196.841616468556,54,3.20534014701843,143,53,NA
"OBOsw",0.809948901286051,1.06066125350054,3.2361238463687,174.978730330173,58.033405978448,3.47012186050415,288,177,NA
"BACs",0.777748354944798,1.00176572298117,3.15424476523869,148.063610660449,30.5827582342317,3.23820495605469,249,249,3
"BACw",0.848476658796095,1.11276917366699,3.62458311802463,190.156246197186,45,3.83342599868774,143,44,3
"BACsw",0.777475812257558,1.01741445041882,3.3147287272859,155.185184729944,61.704088457449,12.3825068473816,288,192,23
