"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.791633081644703,1.02727964689749,2.84738595464614,176.2831456117,45.0353363223944,0.446993112564087,102,102,NA
"OBOw",0.85450467345612,1.11903753555116,3.38261844617243,204.27682209301,45,1.32805204391479,50,44,NA
"OBOsw",0.788963186947836,1.02854075928341,2.95627125348976,179.892191498613,53.7687500486996,1.43886065483093,108,75,NA
"BACs",0.791423119610024,1.02944365255958,3.03453130368118,174.748761436973,45.6177566252099,1.89471292495728,102,102,3
"BACw",0.862082813695223,1.14514141596787,3.57814622605921,206.232394555208,36,1.83356881141663,50,35,10
"BACsw",0.787820971622637,1.02596005716302,3.1271726006966,173.271695083143,55.329242082891,2.92213153839111,108,76,6
