"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.942794079850767,1.20116715221917,3.10860433009174,249.790573637703,34.5066354225798,0.489830255508423,102,102,NA
"OBOw",0.958854033364829,1.2559963681976,3.96896166913327,267.435871339617,34,1.19179010391235,50,33,NA
"OBOsw",0.942111928896943,1.20549256209141,3.2034551274741,256.100864242443,47.9664049216669,1.53746795654297,108,77,NA
"BACs",0.94531874304522,1.20573674900418,3.23749910133706,248.63229839346,35.4611808298448,1.32704901695251,102,102,4
"BACw",0.968960838746389,1.275347431006,4.07691901616679,273.4787806752,34,1.54413485527039,50,33,7
"BACsw",0.940542581516713,1.22410933230246,3.74495589231179,254.553432714341,37.3901903444585,3.06899929046631,108,81,10
