"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.799330655409702,1.04414346643067,2.64914187682609,183.390702111323,49.0457354705633,0.367616653442383,102,102,NA
"OBOw",0.869144273640583,1.15268604387417,3.65126473156233,210.657054294903,40,1.28429818153381,50,39,NA
"OBOsw",0.799515768418819,1.03666731047836,2.93652936071606,176.675965356333,47.560779323253,1.38022089004517,108,77,NA
"BACs",0.799776994387079,1.05182816514411,2.95304617582872,182.873624878748,46.9580376856621,1.41713070869446,102,102,3
"BACw",0.877793457453586,1.17114408547257,3.86184748396402,216.627541160309,32,1.83309054374695,50,31,10
"BACsw",0.813680661239319,1.09649932887662,3.47143740711699,188.949968141234,37.8774874090711,3.33252191543579,108,88,12
