"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.824150909500595,1.06738278383241,3.17005662622374,180.879916029517,21.0839170278115,0.423133850097656,102,102,NA
"OBOw",0.821673016241738,1.1050746472839,3.50733665143224,193.473601114071,43,1.21118116378784,50,42,NA
"OBOsw",0.790231556120415,1.04192467002648,3.05211210064666,186.051483748052,45.0215762060397,1.45971512794495,108,86,NA
"BACs",0.824467042896744,1.06987804302587,3.23792229005594,180.154484518061,21.4992201255833,1.56253528594971,102,102,4
"BACw",0.828084750217593,1.14262318371396,3.76229571932095,203.219616707073,32,1.8360538482666,50,31,12
"BACsw",0.793066533762039,1.07061033966847,3.51738412728945,178.009194740886,33.9676937307795,2.47005462646484,108,80,7
