"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.826729539838187,1.10597858432349,2.57373962617111,203.433575603578,72.5819237539443,1.12686991691589,102,102,NA
"OBOw",0.832902796521536,1.13020641801568,3.22277642019688,204.068348659464,37,2.50027799606323,50,36,NA
"OBOsw",0.774186277338632,1.02472276476854,2.57784860311201,168.984161776612,44.4860135924741,2.2177951335907,108,75,NA
"BACs",0.835533548817842,1.1166482562694,2.91867855345741,209.47533021949,75.509839100519,4.86834692955017,102,102,4
"BACw",0.834501742696583,1.14261565480008,3.38318940644262,206.575956998444,33,2.56237459182739,50,32,4
"BACsw",0.793995008215872,1.05654377865929,2.75652537729742,175.939416058453,43.6236695089763,6.41228771209717,108,78,12
