"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.834507655431068,1.08925329591767,3.17066305825894,203.949262612951,48.9119972289143,0.491192817687988,102,102,NA
"OBOw",0.934512030081694,1.25133980814734,3.77583966572294,257.581852109982,28,1.21260714530945,50,27,NA
"OBOsw",0.841882061276591,1.11799547912437,3.2633300807241,210.632281654426,54.1073699843945,1.42748117446899,108,83,NA
"BACs",0.840736456376337,1.09920078464504,3.40917576549737,201.182235818646,47.1993820021361,1.75910782814026,102,102,3
"BACw",0.896838116475595,1.215314733931,3.89933184300482,243.099055110373,40,1.92836165428162,50,39,7
"BACsw",0.887690089320281,1.18720574259994,3.67894504812007,233.168070660376,39.6323913105294,2.76230430603027,108,94,8
