"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.883004259314017,1.13565159255134,3.02322671951471,178.333791874812,34.0415245288513,2.62736296653748,494,494,NA
"OBOw",0.93224415110813,1.18133929739937,3.36769168973254,201.285459239676,85,5.67644238471985,266,84,NA
"OBOsw",0.909549202740336,1.14403025970244,2.78494987165941,195.099882534787,103.143848165282,6.60519456863403,556,361,NA
"BACs",0.864047237874663,1.11747548289867,3.04791886898359,172.124945786785,33.612297073358,10.3705887794495,494,494,4
"BACw",0.913034879701334,1.15997224446382,3.15485480142811,194.530464366822,96,8.2144947052002,266,95,9
"BACsw",0.894996050950847,1.1307210098897,2.96531316371355,186.751538311362,76.1394889948121,19.6044578552246,556,353,18
