"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.821201658764624,1.05841779617332,2.7703658259736,158.541573455709,85.1879096922417,1.62334156036377,494,494,NA
"OBOw",0.831458925607642,1.08121715724714,3.10198618114759,159.308645818014,66,5.43834781646729,266,65,NA
"OBOsw",0.845896075357628,1.07704396665089,2.43866943770713,167.691900383445,119.442040142726,6.41768550872803,556,344,NA
"BACs",0.831845262317483,1.04658906566953,2.60271386958745,149.820670283735,72.1628822952863,7.63705706596375,494,494,6
"BACw",0.841197803923044,1.07422680011091,2.65295692773443,159.000215940817,69,14.1268408298492,266,68,26
"BACsw",0.821096542489305,1.03892518769097,2.36206007928363,150.989208673339,95.6225970315143,14.6995935440063,556,347,12
