"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.957325485540992,1.24832581803189,3.41968253156155,234.715304983086,51.2276990410656,1.96027207374573,494,494,NA
"OBOw",0.983063745492166,1.25800265595293,3.10976671522215,241.140656105371,89,5.84161424636841,266,88,NA
"OBOsw",1.05253280271385,1.34078316251155,3.00886460727997,292.137144245627,132.191320394072,6.44087934494019,556,375,NA
"BACs",0.836106187119203,1.08337891948573,2.98967430750659,564.840609854369,59.3870381048061,7.47474145889282,494,494,4
"BACw",0.967410614174673,1.23492484034548,3.2560121467094,230.323283790072,69,11.7439117431641,266,68,18
"BACsw",0.986022447232779,1.24784173819675,3.29052069337129,236.449895691992,74.8979523192929,38.3523426055908,556,352,67
