"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.932451420745635,1.18893970488698,3.51985482492933,196.520333616817,32.5206175528248,4.25733637809753,494,494,NA
"OBOw",0.954634295182607,1.2108849820553,3.91710961829654,212.294074685663,59,6.14084887504578,266,58,NA
"OBOsw",0.975531026787844,1.23056906974904,3.68306082525329,221.841730779169,82.3823844556912,7.06692600250244,556,344,NA
"BACs",0.940079448872057,1.19904876779468,3.56292631072152,200.991556698067,35.5978790321079,7.50240564346313,494,494,4
"BACw",0.954513992398128,1.20591937690305,3.88709917147901,207.830320504688,53,9.22599172592163,266,52,9
"BACsw",0.920698520845601,1.159474453899,3.3444884824501,192.316255521768,89.9138653444245,22.7656035423279,556,341,25
