"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.90775074868803,1.18471297594254,3.43491835562607,203.251669898649,51.7631699777795,2.43429684638977,494,494,NA
"OBOw",0.966566655712555,1.22859002446969,3.26275797095523,227.240319807904,87,5.80267024040222,266,86,NA
"OBOsw",0.978882031357717,1.2584418880221,3.17906110121622,237.113738116411,119.426664523158,6.61956071853638,556,362,NA
"BACs",0.861202687961831,1.1215157069228,3.02614072479235,178.684167963191,48.2956439837506,6.76366090774536,494,494,4
"BACw",0.93236876073415,1.19668899616622,3.38531722562064,209.020125429075,77,14.9026546478271,266,76,37
"BACsw",0.901466946532588,1.16271506186906,2.95545190695211,198.954345176379,89.2801840772499,18.9876885414124,556,363,15
