"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.763175177057389,1.00208259512044,3.09464259501536,133.420707663495,40.608721806735,2.12549686431885,494,494,NA
"OBOw",0.833416040540875,1.09747249746514,3.68967318249292,160.463656336532,69,6.13874292373657,266,68,NA
"OBOsw",0.855948072870772,1.11481671507161,3.24003837102579,175.745688816918,114.426780526032,6.79085850715637,556,367,NA
"BACs",0.748513400810757,0.981840461346948,3.11159896705616,127.946993369082,38.497674722055,7.92240476608276,494,494,5
"BACw",0.790010772126191,1.04833249889468,3.64754381935756,145.012232534439,61,21.0247733592987,266,60,41
"BACsw",0.853875470827864,1.11447269929688,3.08080003796892,175.222014750886,122.596911646398,38.5116052627563,556,398,48
