"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.865638110477465,1.15093086753546,3.06955953930253,221.126878484105,47.4895475336805,0.78801703453064,102,102,NA
"OBOw",0.921070058208093,1.2583398898441,3.98197345569927,252.423017949024,27,2.41838550567627,50,26,NA
"OBOsw",0.885041938777162,1.19055899128749,3.39312201741814,233.02197008673,60.4895475336805,2.31735563278198,148,115,NA
"BACs",0.798149990531934,1.07542645240692,3.09640044165519,187.195339394585,48.0761512849084,4.26384615898132,102,102,4
"BACw",0.916971421428418,1.25643704255668,4.02234423606006,248.719700503604,26,2.73438382148743,50,25,4
"BACsw",0.848425287497169,1.14956552087872,3.13055390584347,214.810180782571,67.9304676085429,6.83662414550781,148,119,13
