"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.865638110477465,1.15093086753546,3.06955953930253,221.126878484105,47.4895475336805,0.739131212234497,102,102,NA
"OBOw",0.921070058208093,1.2583398898441,3.98197345569927,252.423017949024,27,2.42242336273193,50,26,NA
"OBOsw",0.885041938777162,1.19055899128749,3.39312201741814,233.02197008673,60.4895475336805,3.25355076789856,148,115,NA
"BACs",0.798149990531934,1.07542645240692,3.09640044165519,187.195339394585,48.0761512849084,4.35634899139404,102,102,4
"BACw",0.916971421428418,1.25643704255668,4.02234423606006,248.719700503604,26,2.80409264564514,50,25,4
"BACsw",0.848425287497169,1.14956552087872,3.13055390584347,214.810180782571,67.9304676085429,6.71890020370483,148,119,13
