"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.900070804972744,1.23566695689305,2.94768767977529,309.617561235051,52.6427583839169,0.28309965133667,53,53,NA
"OBOw",1.0107696392082,1.43938693475097,3.89954081934496,300.670786249569,19,0.658691167831421,19,18,NA
"OBOsw",0.93331964127953,1.29975065821928,3.42247813093079,239.668240794413,39.1110633596031,0.731226682662964,48,46,NA
"BACs",0.890366478623481,1.21925468747409,2.82403353716601,308.297659093164,52.8421188300589,1.52158236503601,53,53,3
"BACw",1.00906832601683,1.43652791322924,3.88036626230941,298.396932132424,19,0.983025550842285,19,18,5
"BACsw",0.902127474005176,1.23312236702243,3.20650239332962,216.112323662307,41.4238639518614,1.71259474754333,48,48,8
