"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",1.04234299908993,1.40583710908297,3.51776556381688,305.580946349601,39.4381235335655,0.346160173416138,53,53,NA
"OBOw",1.18437191912482,1.64108388930794,4.2875678824904,421.616752774156,20,0.640632629394531,19,19,NA
"OBOsw",1.05016744203719,1.47410998440363,3.73237818312812,329.668811491372,39.7821629747333,0.876835823059082,48,42,NA
"BACs",1.03874935154683,1.40287945886077,3.51133513177183,300.182732534307,39.4381235335655,0.572701930999756,53,53,2
"BACw",1.19123045205878,1.65709007195105,4.30351065380932,429.08564622759,18,0.98122239112854,19,17,3
"BACsw",1.03396224998597,1.40640870011769,3.40993152770596,299.224164272249,40.6066382947986,0.84321928024292,48,43,3
