"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.92032977877398,1.24001461994654,2.9703471768965,240.71869249282,40.9068632651708,0.16960334777832,53,53,NA
"OBOw",1.05436136489168,1.45562858618325,3.77484247979279,320.543333208206,19,0.786833524703979,19,18,NA
"OBOsw",0.967590643060586,1.30350683978576,3.04090815596541,257.191984580602,36.7729504627858,0.768051862716675,48,43,NA
"BACs",0.915935603477164,1.2362659223827,2.96055306787882,237.938469319168,40.9068632651708,0.621445894241333,53,53,2
"BACw",1.05366153175282,1.45438296817429,3.75236214900666,319.182744836348,19,0.834461450576782,19,18,2
"BACsw",0.937219151182536,1.25704360095891,2.87064933053094,240.998993130958,35.8351970590589,1.03399348258972,48,43,6
