"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.918792730750732,1.26769223703818,3.06938455882925,227.438344857837,37.5008723978379,0.124248027801514,53,53,NA
"OBOw",1.02684982810258,1.45718386080526,3.91632391902861,305.597579166778,18,0.507833003997803,19,17,NA
"OBOsw",0.942665481079709,1.31624420209276,3.43352277941172,241.000892300999,38.7337418212259,0.791878223419189,48,44,NA
"BACs",0.916442601904376,1.2620694929924,3.04611825328202,223.73565312847,37.6024480450773,0.524729251861572,53,53,2
"BACw",1.0243670891943,1.45387017964406,3.89913851663826,302.978112223761,18,0.817119598388672,19,17,7
"BACsw",0.919349897944359,1.25729806024634,3.23062926814356,219.533982430136,29.7126764232738,1.54355692863464,48,36,9
