"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.689421651929526,0.961312236671617,3.76425760054921,802.268448179463,106.391352511452,2.45032620429993,494,494,NA
"OBOw",0.719266798179564,1.02279733776581,4.55562166359513,420.402720181234,139,8.95386672019958,266,138,NA
"OBOsw",0.669053445664395,0.948654347131828,3.85852162077262,748.44307747229,90.7543595293605,13.1109585762024,556,294,NA
"BACs",0.637621301525077,0.902057766641291,3.93296963738241,619.083567577401,87.9461451169892,14.2734725475311,494,494,7
"BACw",0.715733910197883,1.01099950146576,4.66318220752043,391.077519102288,129,62.7120501995087,266,128,100
"BACsw",0.726811758393903,1.00170784666909,3.88103792663092,471.640544259754,179.130353835084,44.0383238792419,556,405,56
