"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",8.88638211382114,14.2792916747193,32.382696373067,22060.1923281406,22.6811012979122,0.870053052902222,22,22,1
"OBOw",9.54593495934959,14.9983332407305,33.4548111673628,25264.2381762596,38,2.87386274337769,82,37,1
"OBOsw",8.78617886178862,14.1280295693418,31.8712348326214,21651.7451626037,37.6811012979122,3.00692200660706,100,37,1
"BACs",7.3390243902439,11.2967546962243,25.2852989197956,14100.3354703202,22.6019421559183,3.06411170959473,22,22,4
"BACw",8.0650406504065,12.1925273662697,26.5891046822731,Inf,64,141.670338392258,82,63,19
"BACsw",7.16930894308943,11.0463454575475,23.9944099180845,13545.0583058199,39.5166349346402,18.369063615799,100,39,9
"OBOs",8.97638888888889,14.4085856790263,32.6522806029139,22847.8546682287,22.7057122979605,0.776135206222534,22,22,1
"OBOw",9.60734126984127,15.0877394248569,33.7574683094966,25989.4888797099,43,2.60469222068787,82,42,1
"OBOsw",8.86488095238095,14.2496936753486,32.2217022399205,22375.9000803009,37.7057122979605,2.9117419719696,100,37,1
"BACs",7.41071428571429,11.3856112201824,25.3286963174747,14580.5123820503,22.7049207242012,4.46965336799622,22,22,5
"BACw",8.14047619047619,12.284233022553,26.91609537946,Inf,66,23.9221909046173,82,65,10
"BACsw",7.21706349206349,11.1044464138799,24.1124350452111,13955.6590948781,62.570187856123,35.5145890712738,100,62,19
"OBOs",8.97674418604651,14.4068512986386,32.6632572180581,23307.4657558531,22.6939534930888,1.04273724555969,22,22,1
"OBOw",9.61279069767442,15.0993736714911,33.7270852442035,26556.5591038403,43,2.49018526077271,82,42,1
"OBOsw",8.86240310077519,14.2478476546704,32.1716327451432,22822.3029243492,35.6939534930888,3.30464696884155,100,35,1
"BACs",7.40717054263566,11.3656714879541,25.2260478151472,14845.1496777669,22.6649317808977,4.7982714176178,22,22,6
"BACw",8.14883720930233,12.2791497824501,26.8982579188647,Inf,62,189.9910364151,82,61,37
"BACsw",7.67422480620155,11.7054201319353,24.8145681142686,16039.9172459252,39.6451196261512,8.96732234954834,100,39,5
"OBOs",9.04223484848485,14.5087290862077,32.9265021746092,24043.2653203598,22.5382878284948,0.875898599624634,22,22,1
"OBOw",9.62992424242424,15.1005092228004,33.5771838117385,27162.9152306748,56,2.7944540977478,82,55,1
"OBOsw",8.94204545454545,14.359586598253,32.3003658859097,23561.8085587903,37.5382878284948,2.82068634033203,100,37,1
"BACs",7.48484848484848,11.4862895873667,25.617110758951,15359.7598737245,22.3771358450042,3.82580256462097,22,22,4
"BACw",8.2342803030303,12.3993141916899,27.3283070027465,Inf,65,88.7582647800446,82,64,4
"BACsw",7.29659090909091,11.2175795477051,24.3400156868553,14749.1229037468,55.9020155869764,128.069397211075,100,55,8
"OBOs",9.23888888888889,14.8652091961211,33.9517304419083,25387.892305322,22.0225168850775,0.916291475296021,22,22,1
"OBOw",9.83592592592593,15.4969172561656,34.6828167509183,28687.4056129786,49,2.72673654556274,82,48,1
"OBOsw",9.14685185185185,14.7168900196968,33.2881694032913,24850.4165009825,37.0225168850775,2.91749620437622,100,37,1
