"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.828024103319157,1.08398182821457,3.11659233367934,160.305597101669,65.4434514899198,7.59409785270691,494,494,NA
"OBOw",0.832102046853238,1.09839310795705,2.75661488702054,171.319782166223,92,5.85590767860413,266,91,NA
"OBOsw",0.886146199691757,1.13070076085328,2.92259334995372,182.135895939496,117.44345148992,11.1701695919037,756,546,NA
"BACs",0.798752883150714,1.05394548401238,3.31843693922444,151.599160471675,52.5290728621229,13.1654818058014,494,494,5
"BACw",0.800548133766597,1.06513964614183,2.89581266623445,156.460376239665,71,9.13263440132141,266,70,12
"BACsw",0.812242857165392,1.06849542926999,2.73541733100233,154.694931039085,79.6193211781295,32.8309979438782,756,541,27
