"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.832772075246044,1.0998037630708,3.25146099878039,180.96547852804,58.5430023181963,1.32764267921448,249,249,NA
"OBOw",0.873698128197137,1.18754961411978,3.76650889548449,202.350649143896,46,5.33479905128479,143,45,NA
"OBOsw",0.875184881918773,1.13898000744569,3.51939287156276,199.021848292972,89.5430023181963,4.01643443107605,388,280,NA
"BACs",0.796871422551606,1.06028404239397,3.25217661644457,161.005069911082,48.4539246854032,7.68177580833435,249,249,5
"BACw",0.88569848660318,1.208121061968,3.9193378244022,207.375014239656,32,4.5442898273468,143,31,6
"BACsw",0.845361900010983,1.10648181057137,3.19212249988654,177.791189599365,66.6000149102067,13.7134103775024,388,280,15
