"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.672986962291979,0.890133193414087,2.30408360181153,223.49295092596,38.089486049813,1.81826305389404,249,249,NA
"OBOw",0.807127799669023,1.07392540421184,3.08920695866414,361.472323506219,63,3.70233583450317,127,62,NA
"OBOsw",0.73397327743399,0.978956213167302,2.74434543504986,286.140824998096,67.9404889401372,4.1144437789917,272,179,NA
"BACs",0.660335689816084,0.872361807895059,2.32601039612531,211.622449389373,37.8764532912804,6.38618087768555,249,249,3
"BACw",0.790216313965741,1.05584980615811,3.04655730196208,344.275107041598,62,5.07672095298767,127,61,4
"BACsw",0.704895359659837,0.935209123120989,2.36711192467547,255.904790882592,70.050206883307,14.1924386024475,272,188,15
