"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.771183552401209,1.01525762939695,2.74010500622278,845.375493054056,93.113318689601,3.5161247253418,249,249,NA
"OBOw",0.970579290088542,1.29572081145085,3.89708541696866,553.364055371935,54,4.26670861244202,127,53,NA
"OBOsw",0.761281903787897,1.00590653707377,2.75044231958677,829.513399477639,71.1769468015934,4.35156154632568,272,149,NA
"BACs",0.729467805524069,0.975325763940186,2.77766331176813,857.864481509741,76.7546567404025,10.4979243278503,249,249,4
"BACw",0.954683999331402,1.2749079292552,3.8182823630505,532.490800284948,58,5.81054973602295,127,57,13
"BACsw",0.767613863948965,1.02353182025303,2.97208103668235,875.046202621051,53.919289579688,12.6209480762482,272,157,7
