"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.810075655526631,1.06914799224276,2.43128562328419,354.156321036865,55.8104381157025,2.08762788772583,249,249,NA
"OBOw",0.869812586144527,1.17075327035527,3.18712893432525,446.574135093636,50,3.72525024414062,127,49,NA
"OBOsw",0.874456578483016,1.15855679580275,2.86583754361794,447.114594044051,87.7033244650288,4.79617261886597,272,184,NA
"BACs",0.788472534298355,1.04468309880809,2.45618010384181,335.931317825691,53.8764569027054,5.9928879737854,249,249,3
"BACw",0.843379569927832,1.14315586105928,3.00400230329397,429.639173713128,49,7.84239053726196,127,48,15
"BACsw",0.810739022868334,1.08912424096771,2.70368423896271,383.467462332357,71.1484182643804,11.8957560062408,272,196,11
