"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.801561034063151,1.05542617328924,2.51626525308895,363.555219790732,76.2458963226872,2.53369665145874,249,249,NA
"OBOw",0.871672144223932,1.15646221426035,3.0521909118002,450.186738723365,74,3.49429869651794,127,73,NA
"OBOsw",0.881496572050991,1.16414582431456,3.00041387861347,484.020219816471,119.773969093934,4.45095324516296,272,201,NA
"BACs",0.79315249932445,1.04687993130616,2.38750964805688,348.526522857247,79.853058232028,10.045122385025,249,249,4
"BACw",0.873276204526098,1.1604261188735,3.23200874392355,435.077773123482,64,5.56783628463745,127,63,7
"BACsw",0.808429140555652,1.07563478100812,2.69775704970498,360.295893030585,70.0828965948918,19.291615486145,272,187,21
