"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.853163743925098,1.13917533431748,2.70683376305923,453.404974013202,108.208635474639,3.49440121650696,249,249,NA
"OBOw",0.894379301551063,1.20374796235491,3.41182359303893,492.540308415724,58,3.75108766555786,127,57,NA
"OBOsw",0.857471578021325,1.16289926538369,3.3595566352617,461.336257650056,95.5700156198975,4.76584482192993,272,189,NA
"BACs",0.804446935375204,1.09610128924494,2.91126444056892,401.986240139076,76.728118907152,10.684357881546,249,249,5
"BACw",0.8607136307289,1.16789428059343,3.34794179297352,462.226447588499,71,5.12218928337097,127,70,5
"BACsw",0.821768607590022,1.09553927085893,3.00872250548376,376.724964606997,76.7039466605113,14.6143932342529,272,200,15
