"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.851874512877641,1.12369587254632,2.91234462243644,391.629002905972,61.6500171124473,2.59727549552917,249,249,NA
"OBOw",0.89519635044408,1.20737516765761,3.56042493232668,473.737068333661,61,3.65653467178345,127,60,NA
"OBOsw",0.878823284947793,1.17567173444328,3.38394645014426,460.101825942292,89.5400777733017,4.17028999328613,272,195,NA
"BACs",0.84465084587047,1.10973673202643,2.91200692307321,379.268412033616,62.6969543720911,9.42325830459595,249,249,3
"BACw",0.881744807690385,1.1880403198139,3.51444573854028,453.78562061885,63,4.92060518264771,127,62,5
"BACsw",0.834426106087822,1.10911051873038,3.16344703283335,370.475413978971,84.0637210542395,11.2911257743835,272,208,9
