"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.812669534388667,1.04406246140378,2.63011554397562,320.389262824177,44.7139060451953,1.9863543510437,249,249,NA
"OBOw",0.891456445160797,1.19874418112674,3.52846054557304,461.001145928733,49,3.59025263786316,127,48,NA
"OBOsw",0.836247746346225,1.11457425111256,3.28457083546741,386.281727335829,81.0928316985217,4.14183044433594,272,185,NA
"BACs",0.80418224266666,1.02889622348987,2.57790662555383,310.680749650719,45.8394530222084,6.5323007106781,249,249,4
"BACw",0.880379610814825,1.1829449711474,3.46762896477853,445.689319816285,51,8.4402015209198,127,50,17
"BACsw",0.819706017019886,1.07104032585266,2.66401055244122,346.799418871583,71.8714359009295,10.2431626319885,272,190,8
