"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.711655969236958,0.950636174517228,2.60342457970425,254.927984732477,29.0786996802795,2.30469179153442,249,249,NA
"OBOw",0.79725485661237,1.07106328960384,3.03135588061216,362.880174168532,57,3.53144717216492,127,56,NA
"OBOsw",0.72596445721744,0.990364797943478,2.75672211019032,309.137082881832,85.0103209454938,4.29958629608154,272,205,NA
"BACs",0.69384752724996,0.926890519769347,2.55531877793558,239.663117640571,30.1659809395351,7.83573722839355,249,249,4
"BACw",0.780660813121279,1.05508735931835,3.06049272343883,342.515552174674,49,5.34311079978943,127,48,9
"BACsw",0.715971194170204,0.962114397807118,2.58135189044061,270.056560518096,71.1620759641554,12.4244434833527,272,200,12
