"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.789286459138784,1.03044669628758,2.80825726323538,312.410474162802,34.6325675186778,2.35228705406189,249,249,NA
"OBOw",0.881159865145799,1.16559520741192,3.35950295238692,425.848816713604,52,3.32768893241882,127,51,NA
"OBOsw",0.827002079752145,1.09426027261763,2.8366624680239,384.587865840283,96.5416990806352,4.36909151077271,272,211,NA
"BACs",0.780901769878411,1.0147759010235,2.78348439390768,303.392607913932,41.9445453994718,8.39251899719238,249,249,4
"BACw",0.867845508504763,1.15381386258898,3.27754884645909,420.791857477554,67,6.66080498695374,127,66,11
"BACsw",0.81646074012653,1.07639799155158,2.7402108320671,349.960085938249,75.9446911960577,20.5996720790863,272,204,32
