"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",0.783968685249239,1.06549354453319,3.23348858963904,330.124116326462,51.3859449412194,1.95561337471008,249,249,NA
"OBOw",0.858619492656426,1.1839262276134,3.62384906614566,445.923076308601,62,3.75821328163147,127,61,NA
"OBOsw",0.832752934895788,1.16116067066104,3.66257052356864,421.048334480732,89.1400216383496,4.43856954574585,272,196,NA
"BACs",0.764616065012909,1.03835617282795,3.17929607812005,308.718904713194,44.2502323036421,9.70831203460693,249,249,4
"BACw",0.854656610022796,1.17168237636668,3.62509321105855,426.889538481934,49,7.40054512023926,127,48,22
"BACsw",0.802414633702562,1.08874208638954,3.34905915036899,352.344360653229,87.5951019549565,15.4246740341187,272,200,17
