"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"BACs",2.46413538355811,3.17516834396885,6.01860097467075,15649.2470946221,15.5715515456187,6.34300017356873,22,22,3
"BACw",2.54832059101452,3.27473768122764,6.37066217425328,16481.8758728167,19,8.05216193199158,26,18,3
"BACsw",2.46430719010394,3.18262668548964,6.05989733982604,15742.8771255454,33.0610934806419,18.4682278633118,44,40,7
"OBOs",2.46212962172317,3.17615356974298,6.01799372769456,15780.8490339475,14.9663814234142,6.16901588439941,22,22,1
"OBOw",2.55247203483904,3.27187240050843,6.30118230547521,16572.256024306,21.0000000000001,7.9753041267395,26,20,1
"OBOsw",2.4718640594313,3.18525443034197,6.07460585718869,15641.5408502254,25.9663814234142,13.1647911071777,44,33,1
"BACs",2.45871402954487,3.17058356135676,5.99511948059577,15717.571013456,15.3206851647699,21.3545470237732,22,22,3
"BACw",2.55153274699001,3.27741356439848,6.37132539866885,16593.6428646257,19,39.5995478630066,26,18,5
"BACsw",2.4834770728375,3.2026854499038,6.0663397446279,16019.2300533162,26.9759911538802,39.2494390010834,44,34,6
"OBOs",2.4640522875817,3.1792100093965,6.02823916732177,15899.2558156095,14.968567045867,4.04246091842651,22,22,1
"OBOw",2.55521602580426,3.27477206490364,6.31205535109955,16695.0909965819,19.0000000000001,5.80946207046509,26,18,1
"OBOsw",2.47457770987183,3.18800857790729,6.07827016272075,15753.6032097734,31.968567045867,10.1296939849854,44,39,1
"BACs",2.45819539937187,3.17015943975067,5.99088777578438,15818.6436004134,14.9685474908876,11.3459901809692,22,22,2
"BACw",2.55334861217214,3.27956377877729,6.38120011944231,16706.4867320005,19,72.8047277927399,26,18,23
"BACsw",2.51600033952975,3.23266632484372,6.19564248066482,16308.3471132328,28.8680747526941,58.8985118865967,44,36,6
"OBOs",2.46434900008438,3.17889791437951,6.02229231460498,15993.0789762329,14.9728585374901,3.38713908195496,22,22,1
"OBOw",2.55666188507299,3.27610279883909,6.31652318694331,16807.4108647785,21.0000000000001,6.03294801712036,26,20,1
"OBOsw",2.47666863555818,3.19116417881212,6.07674258729585,15937.8018279849,26.9728585374901,7.45004296302795,44,34,1
"BACs",2.46814614800439,3.17973394439447,6.00196740668304,15973.6054730294,15.4806157659349,15.2973139286041,22,22,3
"BACw",2.55463673951565,3.28253561762943,6.36771668814993,16832.1428327321,20,21.5274651050568,26,19,4
"BACsw",2.49059151126487,3.20731907059817,6.05757499962098,16249.3401296219,34.2153924522186,60.2701349258423,44,41,8
"OBOs",2.46522942706149,3.18034395975875,6.02761641317803,16119.5812235591,14.9676797756507,3.03359699249268,22,22,1
"OBOw",2.55708413723681,3.2787224602572,6.34095785184488,16937.2078673077,17,4.55398511886597,26,16,1
"OBOsw",2.47747672175153,3.19287437501062,6.08054312498774,16102.0185749457,25.9676797756507,7.20302700996399,44,33,1
"BACs",2.46162234711853,3.17436411500048,6.00615881091833,16051.9618270133,15.1582119501996,12.973671913147,22,22,3
"BACw",2.55238654475296,3.27954107285142,6.37704215656966,16910.1989106815,20,13.5402050018311,26,19,2
"BACsw",2.49442160892543,3.21671980462781,6.09086131423921,16458.4523490521,33.1865147575945,78.9363470077515,44,34,13
"OBOs",2.46559919939955,3.17899294805596,6.02116066296924,16200.1417510099,14.9673732467908,3.33070993423462,22,22,1
"OBOw",2.55666750062547,3.27622245253618,6.3179099390278,17011.952161878,21,5.17916488647461,26,20,1
"OBOsw",2.47894254023851,3.19388488764179,6.08880220175052,16216.6559004469,32.9673732467908,8.77992796897888,44,40,1
